Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,Services_500m,Trees_500m
Kensington,4 Coopers La,3,h,785000.0,S,Nelson,2016-09-03,4.2,3031.0,2.0,1.0,1.0,258.0,64.0,,Melbourne City Council,-37.7906,144.924,Northern Metropolitan,5263.0,3.0,2048
Kensington,65 Gatehouse Dr,3,h,852000.0,S,Nelson,2016-09-03,4.2,3031.0,3.0,1.0,1.0,166.0,138.0,2000.0,Melbourne City Council,-37.7929,144.9197,Northern Metropolitan,5263.0,1.0,2799
Kensington,35 Henry St,3,h,1037000.0,S,Rendina,2016-09-03,4.2,3031.0,3.0,1.0,1.0,188.0,106.0,1910.0,Melbourne City Council,-37.7953,144.9275,Northern Metropolitan,5263.0,5.0,2087
Kensington,8 Bent St,2,h,775000.0,S,Jellis,2016-12-03,4.2,3031.0,2.0,1.0,0.0,150.0,,,Melbourne City Council,-37.7963,144.935,Northern Metropolitan,5263.0,2.0,1243
Kensington,14 Hardiman St,3,h,1470000.0,S,Nelson,2017-03-04,4.2,3031.0,3.0,1.0,1.0,199.0,121.0,1910.0,Melbourne City Council,-37.7957,144.932,Northern Metropolitan,5263.0,4.0,1430
Kensington,607/255 Racecourse Rd,2,u,630000.0,S,Nelson,2017-03-04,4.2,3031.0,2.0,2.0,1.0,0.0,,,Melbourne City Council,-37.7886,144.9328,Northern Metropolitan,5263.0,1.0,854
Kensington,5 Rigby La,3,t,845000.0,S,Nelson,2017-03-04,4.2,3031.0,3.0,2.0,1.0,132.0,105.0,,Melbourne City Council,-37.7907,144.9247,Northern Metropolitan,5263.0,3.0,2067
Kensington,403/72 Altona St,2,u,492500.0,S,Pagan,2016-06-04,4.2,3031.0,2.0,1.0,1.0,0.0,81.0,2008.0,Melbourne City Council,-37.7974,144.9261,Northern Metropolitan,5263.0,4.0,1988
Kensington,2/65 Bayswater Rd,2,u,420000.0,VB,Alexkarbon,2016-06-04,4.2,3031.0,2.0,1.0,1.0,0.0,55.0,1970.0,Melbourne City Council,-37.794,144.923,Northern Metropolitan,5263.0,4.0,2959
Kensington,1 Scarborough Pl,2,t,650000.0,S,Nelson,2016-06-04,4.2,3031.0,2.0,1.0,1.0,79.0,,,Melbourne City Council,-37.7914,144.9344,Northern Metropolitan,5263.0,2.0,1014
Kensington,56 Tennyson St,3,h,1050000.0,S,Edward,2016-06-04,4.2,3031.0,3.0,1.0,1.0,274.0,,1900.0,Melbourne City Council,-37.7984,144.929,Northern Metropolitan,5263.0,3.0,1749
Kensington,61 Bangalore St,3,h,1291000.0,SP,Edward,2016-08-06,4.2,3031.0,3.0,1.0,1.0,416.0,,,Melbourne City Council,-37.7946,144.924,Northern Metropolitan,5263.0,4.0,2855
Kensington,1/16 Mawbey St,2,u,420000.0,SP,Nelson,2016-08-06,4.2,3031.0,2.0,1.0,1.0,0.0,80.0,2002.0,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan,5263.0,2.0,1761
Kensington,47 Barnett St,3,h,961000.0,S,Jellis,2016-05-07,4.2,3031.0,3.0,1.0,1.0,235.0,,,Melbourne City Council,-37.7925,144.9323,Northern Metropolitan,5263.0,5.0,1376
Kensington,72 Bayswater Rd,3,h,1271000.0,S,Edward,2016-05-07,4.2,3031.0,3.0,1.0,1.0,284.0,113.0,1900.0,Melbourne City Council,-37.7938,144.9228,Northern Metropolitan,5263.0,2.0,2899
Kensington,67 Collett St,3,h,1010000.0,PI,Edward,2016-05-07,4.2,3031.0,3.0,1.0,0.0,234.0,104.0,1900.0,Melbourne City Council,-37.7923,144.9332,Northern Metropolitan,5263.0,2.0,1260
Kensington,4/130 Kensington Rd,2,t,750000.0,S,Rendina,2016-05-07,4.2,3031.0,2.0,1.0,1.0,325.0,112.0,2002.0,Melbourne City Council,-37.7976,144.9213,Northern Metropolitan,5263.0,2.0,2377
Kensington,15 Ormond St,4,h,1675000.0,S,Rendina,2016-05-07,4.2,3031.0,4.0,2.0,2.0,279.0,,,Melbourne City Council,-37.797,144.9303,Northern Metropolitan,5263.0,4.0,1668
Kensington,10 Altona St,2,h,905000.0,S,Edward,2016-10-08,4.2,3031.0,2.0,2.0,1.0,138.0,126.0,1999.0,Melbourne City Council,-37.799,144.9276,Northern Metropolitan,5263.0,3.0,2525
Kensington,70 Hardiman St,2,h,960000.0,S,Nelson,2016-10-08,4.2,3031.0,2.0,1.0,1.0,174.0,72.0,1900.0,Melbourne City Council,-37.7959,144.9343,Northern Metropolitan,5263.0,2.0,1301
Kensington,94 McConnell St,2,h,1031000.0,SP,Woodards,2016-10-08,4.2,3031.0,2.0,1.0,1.0,163.0,99.0,1900.0,Melbourne City Council,-37.7929,144.9287,Northern Metropolitan,5263.0,4.0,2236
Kensington,59 The Crescent,3,t,918000.0,SP,Nelson,2016-10-08,4.2,3031.0,3.0,2.0,1.0,788.0,,1998.0,Melbourne City Council,-37.7938,144.9186,Northern Metropolitan,5263.0,1.0,2992
Kensington,13 Youlden St,3,h,870000.0,S,Greg,2016-10-08,4.2,3031.0,3.0,1.0,1.0,211.0,95.0,1992.0,Melbourne City Council,-37.7891,144.926,Northern Metropolitan,5263.0,4.0,1683
Kensington,41 Barnett St,3,h,1165000.0,S,Nelson,2016-09-10,4.2,3031.0,3.0,1.0,0.0,239.0,135.0,1910.0,Melbourne City Council,-37.7923,144.9324,Northern Metropolitan,5263.0,5.0,1362
Kensington,11 Nottingham St,5,h,1710000.0,PI,Nelson,2016-09-10,4.2,3031.0,5.0,2.0,2.0,566.0,270.0,1890.0,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263.0,1.0,954
Kensington,107/88 Altona St,1,u,360000.0,VB,Dingle,2016-12-10,4.2,3031.0,1.0,1.0,1.0,4267.0,,,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263.0,5.0,2155
Kensington,39 Henry St,3,h,1455000.0,S,Jellis,2016-12-10,4.2,3031.0,3.0,1.0,0.0,275.0,120.0,1900.0,Melbourne City Council,-37.7954,144.9274,Northern Metropolitan,5263.0,5.0,2069
Kensington,114/71 Henry St,1,u,365000.0,VB,Edward,2016-12-10,4.2,3031.0,1.0,1.0,1.0,0.0,47.0,2012.0,Melbourne City Council,-37.7961,144.9261,Northern Metropolitan,5263.0,6.0,2199
Kensington,28/18 Mawbey St,3,u,551000.0,S,Woodards,2016-12-10,4.2,3031.0,3.0,1.0,1.0,4440.0,,,Melbourne City Council,-37.7898,144.9233,Northern Metropolitan,5263.0,2.0,1747
Kensington,118/80 Ormond St,2,u,442000.0,S,Nelson,2016-12-10,4.2,3031.0,2.0,2.0,1.0,3448.0,71.0,2010.0,Melbourne City Council,-37.7976,144.9285,Northern Metropolitan,5263.0,5.0,1712
Kensington,51 Rankins Rd,2,h,765000.0,S,Nardella,2016-12-10,4.2,3031.0,2.0,1.0,2.0,158.0,76.0,1965.0,Melbourne City Council,-37.7902,144.9319,Northern Metropolitan,5263.0,3.0,1137
Kensington,407/72 Altona St,2,u,515000.0,SP,Pagan,2017-02-11,4.2,3031.0,2.0,1.0,1.0,3957.0,81.0,2010.0,Melbourne City Council,-37.7974,144.9261,Northern Metropolitan,5263.0,4.0,1988
Kensington,17/29 Bendall St,3,u,570000.0,VB,Hodges,2017-03-11,4.2,3031.0,3.0,1.0,2.0,0.0,,1990.0,Melbourne City Council,-37.7897,144.9239,Northern Metropolitan,5263.0,3.0,1740
Kensington,119/71 Henry St,1,u,370000.0,VB,Edward,2016-06-12,4.2,3031.0,1.0,1.0,1.0,0.0,50.0,2012.0,Melbourne City Council,-37.7961,144.9261,Northern Metropolitan,5263.0,6.0,2199
Kensington,21 Bayswater Rd,2,h,1005000.0,S,Brad,2016-11-12,4.2,3031.0,2.0,1.0,0.0,274.0,,,Melbourne City Council,-37.7931,144.9247,Northern Metropolitan,5263.0,3.0,2625
Kensington,109 Rankins Rd,2,h,1234500.0,SP,Nelson,2016-08-13,4.2,3031.0,2.0,2.0,2.0,169.0,127.0,2008.0,Melbourne City Council,-37.7922,144.9316,Northern Metropolitan,5263.0,4.0,1466
Kensington,11/33 Rankins Rd,2,u,666000.0,S,Nelson,2016-08-13,4.2,3031.0,2.0,1.0,2.0,1111.0,92.0,1998.0,Melbourne City Council,-37.7896,144.9321,Northern Metropolitan,5263.0,2.0,1082
Kensington,32 Epsom Rd,2,h,825000.0,S,Rendina,2016-05-14,4.2,3031.0,2.0,1.0,1.0,211.0,88.0,1915.0,Melbourne City Council,-37.7925,144.9264,Northern Metropolitan,5263.0,4.0,2513
Kensington,33 Rourke La,2,t,770000.0,S,Rendina,2016-05-14,4.2,3031.0,2.0,2.0,1.0,0.0,,,Melbourne City Council,-37.7937,144.9169,Northern Metropolitan,5263.0,1.0,2469
Kensington,12 Hardiman St,3,h,1135000.0,S,Rendina,2016-10-15,4.2,3031.0,3.0,1.0,0.0,0.0,,,Melbourne City Council,-37.7957,144.932,Northern Metropolitan,5263.0,4.0,1430
Kensington,36 The Crescent,4,h,975000.0,S,Nelson,2016-10-15,4.2,3031.0,4.0,3.0,1.0,0.0,,,Melbourne City Council,-37.7941,144.919,Northern Metropolitan,5263.0,1.0,3149
Kensington,14 Altona St,2,t,812000.0,SP,Rendina,2016-04-16,4.2,3031.0,2.0,1.0,0.0,132.0,79.0,1887.0,Melbourne City Council,-37.7989,144.9275,Northern Metropolitan,5263.0,3.0,2472
Kensington,11 Nottingham St,5,h,1900000.0,VB,Nelson,2016-04-16,4.2,3031.0,5.0,2.0,2.0,566.0,270.0,1890.0,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263.0,1.0,954
Kensington,13/26 Barnett St,1,u,445000.0,S,Jellis,2017-03-18,4.2,3031.0,1.0,1.0,0.0,0.0,67.0,1997.0,Melbourne City Council,-37.7913,144.9323,Northern Metropolitan,5263.0,3.0,1265
Kensington,38 Rourke La,2,h,732000.0,SP,Nelson,2016-06-18,4.2,3031.0,3.0,2.0,1.0,94.0,130.0,2002.0,Melbourne City Council,-37.7934,144.9166,Northern Metropolitan,5263.0,2.0,2333
Kensington,33 Barnett St,3,h,1260000.0,S,Nelson,2016-11-19,4.2,3031.0,3.0,2.0,2.0,250.0,147.0,1900.0,Melbourne City Council,-37.792,144.9324,Northern Metropolitan,5263.0,5.0,1349
Kensington,51 Gatehouse Dr,3,h,1000000.0,SP,Nelson,2016-11-19,4.2,3031.0,3.0,2.0,2.0,211.0,132.0,1997.0,Melbourne City Council,-37.7926,144.9197,Northern Metropolitan,5263.0,1.0,2676
Kensington,26 Hopetoun St,2,h,1155000.0,SP,Edward,2016-11-19,4.2,3031.0,2.0,1.0,1.0,197.0,101.0,1890.0,Melbourne City Council,-37.7918,144.9264,Northern Metropolitan,5263.0,4.0,2429
Kensington,25 Rogan La,2,t,700000.0,S,Village,2016-11-19,4.2,3031.0,2.0,1.0,3.0,62.0,,1997.0,Melbourne City Council,-37.7917,144.9231,Northern Metropolitan,5263.0,3.0,2310
Kensington,57 Eastwood St,3,h,813500.0,SP,Nelson,2016-05-22,4.2,3031.0,3.0,1.0,1.0,165.0,,,Melbourne City Council,-37.7907,144.9303,Northern Metropolitan,5263.0,5.0,1503
Kensington,7/51 Epsom Rd,2,u,526000.0,S,Nelson,2016-08-22,4.2,3031.0,2.0,0.0,0.0,0.0,,,Melbourne City Council,-37.7919,144.9253,Northern Metropolitan,5263.0,4.0,2416
Kensington,148b Kensington Rd,3,t,790000.0,SP,Edward,2016-08-22,4.2,3031.0,3.0,2.0,2.0,1181.0,136.0,2003.0,Melbourne City Council,-37.7982,144.9202,Northern Metropolitan,5263.0,1.0,2717
Kensington,42 McCracken St,4,h,1365000.0,S,Edward,2016-08-22,4.2,3031.0,4.0,2.0,1.0,242.0,,,Melbourne City Council,-37.7913,144.9275,Northern Metropolitan,5263.0,5.0,2131
Kensington,66 Parsons St,2,t,700000.0,VB,Nelson,2016-08-22,4.2,3031.0,2.0,2.0,1.0,324.0,97.0,2009.0,Melbourne City Council,-37.7903,144.9345,Northern Metropolitan,5263.0,1.0,817
Kensington,8/33 Rankins Rd,1,u,370000.0,PI,Nelson,2016-08-22,4.2,3031.0,1.0,1.0,2.0,0.0,,,Melbourne City Council,-37.7896,144.9321,Northern Metropolitan,5263.0,2.0,1082
Kensington,49 Robertson St,3,h,1230000.0,S,Nelson,2016-08-22,4.2,3031.0,3.0,1.0,1.0,312.0,109.0,1915.0,Melbourne City Council,-37.793,144.934,Northern Metropolitan,5263.0,2.0,1323
Kensington,208/465 MacAulay Rd,2,u,460000.0,SP,Rendina,2016-04-23,4.2,3031.0,2.0,1.0,1.0,0.0,84.0,2010.0,Melbourne City Council,-37.7948,144.9314,Northern Metropolitan,5263.0,5.0,1570
Kensington,1/16 Mawbey St,2,u,395000.0,PI,Nelson,2016-04-23,4.2,3031.0,2.0,1.0,1.0,0.0,80.0,2002.0,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan,5263.0,2.0,1761
Kensington,28 Pridham St,5,h,1001000.0,S,Rendina,2016-09-24,4.2,3031.0,3.0,1.0,0.0,301.0,,,Melbourne City Council,-37.7896,144.9307,Northern Metropolitan,5263.0,3.0,1256
Kensington,123 Rankins Rd,2,h,850000.0,SP,Nelson,2016-09-24,4.2,3031.0,2.0,1.0,1.0,169.0,90.0,1900.0,Melbourne City Council,-37.7925,144.9315,Northern Metropolitan,5263.0,5.0,1489
Kensington,55 Epsom Rd,3,h,1335000.0,S,Rendina,2017-02-25,4.2,3031.0,3.0,1.0,3.0,459.0,,,Melbourne City Council,-37.7917,144.9251,Northern Metropolitan,5263.0,4.0,2333
Kensington,5 Rogan La,2,h,868000.0,S,Nelson,2017-02-25,4.2,3031.0,2.0,1.0,1.0,97.0,103.0,2000.0,Melbourne City Council,-37.7921,144.9234,Northern Metropolitan,5263.0,3.0,2435
Kensington,25 Chelmsford St,2,h,960000.0,S,Brad,2016-07-26,4.2,3031.0,2.0,1.0,0.0,179.0,,1900.0,Melbourne City Council,-37.7963,144.9327,Northern Metropolitan,5263.0,3.0,1227
Kensington,1/5 Wight St,2,t,773000.0,S,Rendina,2016-07-26,4.2,3031.0,2.0,1.0,1.0,0.0,90.0,1970.0,Melbourne City Council,-37.7937,144.9295,Northern Metropolitan,5263.0,4.0,1791
Kensington,111/18 Bent St,2,u,631090.0,S,Alexkarbon,2016-06-27,4.2,3031.0,2.0,2.0,1.0,2136.0,94.0,2012.0,Melbourne City Council,-37.7956,144.935,Northern Metropolitan,5263.0,2.0,1340
Kensington,10/2 Howlett St,2,u,410000.0,PI,Rendina,2016-06-27,4.2,3031.0,2.0,1.0,1.0,0.0,86.0,2000.0,Melbourne City Council,-37.7897,144.9228,Northern Metropolitan,5263.0,2.0,1665
Kensington,301/84 Altona St,2,u,425000.0,S,Rendina,2016-11-27,4.2,3031.0,2.0,1.0,1.0,0.0,59.0,2006.0,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263.0,5.0,2155
Kensington,68 Hardiman St,2,h,1211000.0,SP,Nelson,2016-11-27,4.2,3031.0,2.0,1.0,1.0,183.0,,,Melbourne City Council,-37.7959,144.9342,Northern Metropolitan,5263.0,2.0,1306
Kensington,8/37 Kensington Rd,2,u,506000.0,SP,Sweeney,2016-11-27,4.2,3031.0,2.0,1.0,1.0,0.0,,,Melbourne City Council,-37.7952,144.9262,Northern Metropolitan,5263.0,5.0,2375
Kensington,64 Hardiman St,2,h,806000.0,S,Alexkarbon,2016-05-28,4.2,3031.0,2.0,1.0,1.0,173.0,,,Melbourne City Council,-37.7959,144.9341,Northern Metropolitan,5263.0,2.0,1312
Kensington,61 Willis St,3,h,829000.0,S,Nelson,2016-05-28,4.2,3031.0,2.0,2.0,2.0,84.0,,,Melbourne City Council,-37.7935,144.9187,Northern Metropolitan,5263.0,1.0,2987
Kensington,10 Mulgrave St,2,h,786000.0,S,Biggin,2016-08-28,4.2,3031.0,2.0,1.0,0.0,149.0,,,Melbourne City Council,-37.7908,144.9309,Northern Metropolitan,5263.0,5.0,1428
Kensington,208/86 Altona St,2,u,458000.0,S,Rendina,2016-07-30,4.2,3031.0,1.0,1.0,1.0,0.0,,,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263.0,5.0,2155
Melbourne,902/16 Liverpool St,1,u,427000.0,S,Harcourts,2016-12-03,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne City Council,-37.8111,144.9715,Northern Metropolitan,17496.0,22.0,1207
Melbourne,14/2 Exhibition St,2,u,1160500.0,S,Kay,2017-03-04,2.8,3000.0,2.0,2.0,1.0,4230.0,,2006.0,Melbourne City Council,-37.8157,144.9727,Northern Metropolitan,17496.0,21.0,1776
Melbourne,2306/265 Exhibition St,2,u,780000.0,SP,Galldon,2016-06-04,2.8,3000.0,2.0,2.0,1.0,0.0,85.0,1997.0,Melbourne City Council,-37.8095,144.9691,Northern Metropolitan,17496.0,17.0,1274
Melbourne,1501/87 Franklin St,2,u,535000.0,S,HAR,2016-05-07,2.8,3000.0,2.0,1.0,1.0,0.0,84.0,2001.0,Melbourne City Council,-37.808,144.9617,Northern Metropolitan,17496.0,14.0,989
Melbourne,3811/80 Abeckett St,2,u,450000.0,VB,MICM,2016-11-07,2.8,3000.0,2.0,1.0,1.0,0.0,55.0,2014.0,Melbourne City Council,-37.8091,144.9609,Northern Metropolitan,17496.0,16.0,911
Melbourne,405/270 King St,2,u,360000.0,VB,LITTLE,2016-11-07,2.8,3000.0,2.0,1.0,0.0,0.0,66.0,1974.0,Melbourne City Council,-37.8138,144.9548,Northern Metropolitan,17496.0,12.0,826
Melbourne,805/300 Swanston St,2,u,665000.0,S,Purplebricks,2016-11-07,2.8,3000.0,2.0,1.0,1.0,0.0,80.0,2004.0,Melbourne City Council,-37.8106,144.9646,Northern Metropolitan,17496.0,21.0,809
Melbourne,1615/250 Elizabeth St,1,u,386000.0,S,Dingle,2016-09-10,2.8,3000.0,1.0,1.0,0.0,0.0,64.0,1976.0,Melbourne City Council,-37.8127,144.9627,Northern Metropolitan,17496.0,22.0,793
Melbourne,49/2 Exhibition St,1,u,659000.0,S,Harcourts,2016-09-10,2.8,3000.0,1.0,1.0,1.0,0.0,59.0,2006.0,Melbourne City Council,-37.8157,144.9727,Northern Metropolitan,17496.0,21.0,1776
Melbourne,1/5 Davisons Pl,2,u,671000.0,SP,MICM,2016-12-10,2.8,3000.0,2.0,1.0,1.0,0.0,,,Melbourne City Council,-37.8089,144.967,Northern Metropolitan,17496.0,17.0,1160
Melbourne,2111/620 Collins St,2,u,545000.0,SP,Greg,2016-11-12,2.8,3000.0,2.0,1.0,1.0,0.0,67.0,2002.0,Melbourne City Council,-37.8188,144.9544,Northern Metropolitan,17496.0,9.0,761
Melbourne,2206/60 Market St,1,u,450000.0,VB,Dingle,2016-11-12,2.8,3000.0,1.0,1.0,0.0,0.0,57.0,1960.0,Melbourne City Council,-37.8178,144.9607,Northern Metropolitan,17496.0,7.0,910
Melbourne,308/16 Liverpool St,1,u,432000.0,S,LITTLE,2016-08-13,2.8,3000.0,1.0,1.0,1.0,0.0,51.0,2005.0,Melbourne City Council,-37.8111,144.9715,Northern Metropolitan,17496.0,22.0,1207
Melbourne,816/300 Swanston St,1,u,400000.0,VB,Greg,2016-08-13,2.8,3000.0,1.0,1.0,1.0,0.0,,2005.0,Melbourne City Council,-37.8106,144.9646,Northern Metropolitan,17496.0,21.0,809
Melbourne,928/43 Therry St,1,u,210000.0,VB,Greg,2016-08-13,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne City Council,-37.8078,144.961,Northern Metropolitan,17496.0,13.0,1041
Melbourne,901/265 Exhibition St,3,u,750000.0,S,Greg,2016-10-15,2.8,3000.0,3.0,2.0,1.0,0.0,122.0,1998.0,Melbourne City Council,-37.8095,144.9691,Northern Metropolitan,17496.0,17.0,1274
Melbourne,208/108 Flinders St,1,u,375000.0,PI,LITTLE,2016-10-15,2.8,3000.0,1.0,1.0,0.0,1414.0,47.0,2014.0,Melbourne City Council,-37.8161,144.9712,Northern Metropolitan,17496.0,23.0,1575
Melbourne,33/300 King St,1,u,680000.0,S,MICM,2016-09-17,2.8,3000.0,1.0,1.0,2.0,0.0,102.0,1965.0,Melbourne City Council,-37.8132,144.9545,Northern Metropolitan,17496.0,12.0,884
Melbourne,1001/639 Little Bourke St,2,u,470000.0,VB,Greg,2017-03-18,2.8,3000.0,2.0,1.0,2.0,0.0,55.0,1917.0,Melbourne City Council,-37.816,144.9535,Northern Metropolitan,17496.0,8.0,668
Melbourne,3301/288 Spencer St,2,u,650000.0,VB,Elite,2017-03-18,2.8,3000.0,2.0,1.0,1.0,0.0,92.0,,Melbourne City Council,-37.8138,144.952,Northern Metropolitan,17496.0,11.0,606
Melbourne,715/300 Swanston St,2,u,483000.0,S,Greg,2017-03-18,2.8,3000.0,1.0,1.0,1.0,0.0,68.0,2004.0,Melbourne City Council,-37.8106,144.9646,Northern Metropolitan,17496.0,21.0,809
Melbourne,304/8 Sutherland St,3,u,610000.0,S,Pagan,2016-06-18,2.8,3000.0,3.0,2.0,0.0,0.0,,,Melbourne City Council,-37.8114,144.961,Northern Metropolitan,17496.0,22.0,853
Melbourne,32/2 Exhibition St,1,u,700000.0,VB,Castran,2016-11-19,2.8,3000.0,1.0,1.0,1.0,0.0,64.0,1920.0,Melbourne City Council,-37.8157,144.9727,Northern Metropolitan,17496.0,21.0,1776
Melbourne,1206/483 Swanston St,2,u,520000.0,VB,Greg,2016-11-19,2.8,3000.0,1.0,1.0,1.0,4051.0,68.0,2005.0,Melbourne City Council,-37.8072,144.9623,Northern Metropolitan,17496.0,15.0,1124
Melbourne,303/166 Flinders St,1,u,440000.0,S,Harcourts,2016-08-22,2.8,3000.0,1.0,1.0,1.0,0.0,65.0,1920.0,Melbourne City Council,-37.8168,144.9691,Northern Metropolitan,17496.0,23.0,1266
Melbourne,43/1 Exhibition St,1,u,436000.0,S,RT,2016-04-23,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne City Council,-37.8159,144.972,Northern Metropolitan,17496.0,24.0,1661
Melbourne,507/325 Collins St,2,u,733000.0,S,MICM,2016-09-24,2.8,3000.0,2.0,2.0,1.0,0.0,94.0,1965.0,Melbourne City Council,-37.8166,144.9635,Northern Metropolitan,17496.0,20.0,784
Melbourne,702/108 Flinders St,2,u,675000.0,VB,Kay,2016-09-24,2.8,3000.0,2.0,2.0,1.0,0.0,,2014.0,Melbourne City Council,-37.8161,144.9712,Northern Metropolitan,17496.0,23.0,1575
Melbourne,60 Hayward La,3,h,1630000.0,S,Dingle,2017-02-25,2.8,3000.0,3.0,2.0,0.0,95.0,,,Melbourne City Council,-37.8092,144.967,Northern Metropolitan,17496.0,18.0,1135
Melbourne,1003/265 Exhibition St,3,u,760000.0,S,hockingstuart,2016-05-28,2.8,3000.0,2.0,2.0,1.0,0.0,89.0,1997.0,Melbourne City Council,-37.8095,144.9691,Northern Metropolitan,17496.0,17.0,1274
Melbourne,103/565 Flinders St,2,u,360000.0,VB,Dingle,2016-08-28,2.8,3000.0,1.0,1.0,1.0,1136.0,69.0,2009.0,Melbourne City Council,-37.8211,144.9559,Northern Metropolitan,17496.0,13.0,659
Melbourne,509/33 MacKenzie St,2,u,390000.0,PI,Dingle,2016-07-30,2.8,3000.0,2.0,1.0,1.0,1751.0,,2012.0,Melbourne City Council,-37.8077,144.9668,Northern Metropolitan,17496.0,16.0,1202
North Melbourne,10 Canning St,4,h,2920000.0,S,Nelson,2016-09-03,2.3,3051.0,4.0,3.0,4.0,310.0,276.0,1880.0,Melbourne City Council,-37.7958,144.944,Northern Metropolitan,6821.0,5.0,2362
North Melbourne,90 Molesworth St,3,h,1635000.0,S,Nelson,2016-09-03,2.3,3051.0,2.0,1.0,0.0,517.0,,,Melbourne City Council,-37.7967,144.9472,Northern Metropolitan,6821.0,5.0,3247
North Melbourne,208/150 Peel St,1,u,491000.0,SP,Nelson,2016-09-03,2.3,3051.0,1.0,1.0,1.0,0.0,,,Melbourne City Council,-37.8044,144.9566,Northern Metropolitan,6821.0,3.0,1697
North Melbourne,24/302 Abbotsford St,2,u,540000.0,S,Jellis,2016-12-03,2.3,3051.0,2.0,1.0,1.0,0.0,65.0,1970.0,Melbourne City Council,-37.7994,144.9464,Northern Metropolitan,6821.0,6.0,1979
